"             ELEM1","             ELEM2","                 X","                 Y","                 Z","              HEAT","              FLOW","            FLOW_G","            FLOW_L"
"                  ","                  ","               (M)","               (M)","               (M)","               (W)","            (KG/S)","            (KG/S)","            (KG/S)"
"TIME [sec]  0.31560000E+08"
"             A11 0","             A11 1",  0.30002474023E+000,  0.00000000000E+000, -0.22500000000E+001, -0.29997441415E+004,  0.31724968910E-009,  0.31414402918E-009,  0.31056599201E-011
"             A11 1","             A11 2",  0.60634010403E+000,  0.00000000000E+000, -0.22500000000E+001, -0.29991071611E+004, -0.32231943093E-006, -0.11712458841E-002,  0.11709235647E-002
"             A11 2","             A11 3",  0.91920359460E+000,  0.00000000000E+000, -0.22500000000E+001, -0.30020387845E+004, -0.10498732089E-004, -0.11399662650E-002,  0.11294675329E-002
"             A11 3","             A11 4",  0.12383235403E+001,  0.00000000000E+000, -0.22500000000E+001, -0.30053357023E+004, -0.24428368999E-004, -0.11108418620E-002,  0.10864134930E-002
"             A11 4","             A11 5",  0.15642871972E+001,  0.00000000000E+000, -0.22500000000E+001, -0.30088587162E+004, -0.42676263209E-004, -0.10798202501E-002,  0.10371439869E-002
"             A11 5","             A11 6",  0.18972519769E+001,  0.00000000000E+000, -0.22500000000E+001, -0.30145207337E+004, -0.71159360979E-004, -0.29264366140E-003,  0.22148430042E-003
"             A11 6","             A11 7",  0.22372121415E+001,  0.00000000000E+000, -0.22500000000E+001, -0.29765964346E+004, -0.71541119876E-004, -0.29690648005E-007, -0.71511429228E-004
"             A11 7","             A11 8",  0.25841784869E+001,  0.00000000000E+000, -0.22500000000E+001, -0.29318473598E+004, -0.71707658452E-004, -0.33599017044E-007, -0.71674059435E-004
"             A11 8","             A11 9",  0.29381352604E+001,  0.00000000000E+000, -0.22500000000E+001, -0.28803034526E+004, -0.71630513972E-004, -0.40421783423E-007, -0.71590092189E-004
"             A11 9","             A1110",  0.33000978172E+001,  0.00000000000E+000, -0.22500000000E+001, -0.28220491558E+004, -0.71301170724E-004, -0.48064621447E-007, -0.71253106103E-004
"             A1110","             A1111",  0.36695613513E+001,  0.00000000000E+000, -0.22500000000E+001, -0.27572151941E+004, -0.70729942374E-004, -0.56194015671E-007, -0.70673748359E-004
"             A1111","             A1112",  0.40465205195E+001,  0.00000000000E+000, -0.22500000000E+001, -0.26859751327E+004, -0.69942259654E-004, -0.64691408480E-007, -0.69877568245E-004
"             A1112","             A1113",  0.44314755725E+001,  0.00000000000E+000, -0.22500000000E+001, -0.26085439300E+004, -0.68973044588E-004, -0.73486403474E-007, -0.68899558185E-004
"             A1113","             A1114",  0.48249313096E+001,  0.00000000000E+000, -0.22500000000E+001, -0.25251831408E+004, -0.67860119979E-004, -0.82523635201E-007, -0.67777596344E-004
