"              ELEM","                 X","                 Y","                 Z","              ROCK","              PRES","              TEMP","             SAT_G","             SAT_L","         X_WATER_G","           X_AIR_G","         X_WATER_L","           X_AIR_L","             REL_G","             REL_L","           PCAP_GL","             DEN_G","             DEN_L","               POR"
"                  ","               (M)","               (M)","               (M)","                  ","              (PA)","           (DEC-C)","               (-)","               (-)","               (-)","               (-)","               (-)","               (-)","               (-)","               (-)","              (PA)","         (KG/M**3)","         (KG/M**3)","               (-)"
"TIME [sec]  0.31560000E+08"
"             A11 0",  0.15000000000E+000,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.14348260271E+006,  0.16749469394E+003,  0.99874056718E+000,  0.12594328180E-002,  0.10000000000E+001,  0.10037233207E-016,  0.10000000000E+001,  0.14550149427E-021,  0.10000000000E+001,  0.76868004661E-018, -0.30146533471E+009,  0.71282676052E+000,  0.89983305349E+003,  0.10000000000E+000
"             A11 1",  0.45320000000E+000,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.14348255800E+006,  0.11394155607E+003,  0.99678358124E+000,  0.32164187608E-002,  0.10000000000E+001,  0.00000000000E+000,  0.10000000000E+001,  0.00000000000E+000,  0.10000000000E+001,  0.16696234359E-013, -0.21906952912E+008,  0.81853496658E+000,  0.94764430769E+003,  0.10000000000E+000
"             A11 2",  0.76270000000E+000,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.12973843132E+006,  0.10709881438E+003,  0.86166080887E+000,  0.13833919113E+000,  0.10000000000E+001,  0.34529819865E-020,  0.10000000000E+001,  0.45640341048E-025,  0.99998880806E+000,  0.11191939133E-004, -0.14036640719E+006,  0.75319217812E+000,  0.95289141203E+003,  0.10000000000E+000
"             A11 3",  0.10790000000E+001,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.11847585849E+006,  0.10444623717E+003,  0.60950828227E+000,  0.39049171773E+000,  0.10000000000E+001,  0.28853344774E-015,  0.10000000000E+001,  0.34788517857E-020,  0.99793516245E+000,  0.20648375536E-002, -0.36766244795E+005,  0.69188068192E+000,  0.95487160426E+003,  0.10000000000E+000
"             A11 4",  0.14010000000E+001,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10947192493E+006,  0.10218402613E+003,  0.41323033278E+000,  0.58676966722E+000,  0.99999999997E+000,  0.26436039388E-010,  0.10000000000E+001,  0.29424964187E-015,  0.98248613460E+000,  0.17513865404E-001, -0.19644382702E+005,  0.64257040128E+000,  0.95653630135E+003,  0.10000000000E+000
"             A11 5",  0.17310000000E+001,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10179137268E+006,  0.10013038000E+003,  0.22300719719E+000,  0.77699280281E+000,  0.99999734535E+000,  0.26546468711E-005,  0.99999999997E+000,  0.27453053236E-010,  0.91181726610E+000,  0.88182733898E-001, -0.10694589770E+005,  0.60029929326E+000,  0.95802815164E+003,  0.10000000000E+000
"             A11 6",  0.20670000000E+001,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10004291439E+006,  0.92621492340E+002,  0.17378578956E+000,  0.82621421044E+000,  0.68280504292E+000,  0.31719495708E+000,  0.99999635758E+000,  0.36424165994E-005,  0.86895835405E+000,  0.13104164595E+000, -0.88077526215E+004,  0.68025726323E+000,  0.96333393382E+003,  0.10000000000E+000
"             A11 7",  0.24110000000E+001,  0.00000000000E+000, -0.22500000000E+001,                   1,  0.10004272075E+006,  0.84646975743E+002,  0.17496903884E+000,  0.82503096116E+000,  0.45439794123E+000,  0.54560205877E+000,  0.99999308182E+000,  0.69181826080E-005,  0.87020623100E+000,  0.12979376900E+000, -0.88523713500E+004,  0.76789102621E+000,  0.96868344106E+003,  0.10000000000E+000
